Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
9587,Ticarcillin,HMDB0015545,36921,9587,C07139,NA,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](C(O)=O)C1=CSC=C1)C(O)=O,1
9592,Tiglic acid,HMDB0001470,125468,9592,C08279,6261,C\C=C(/C)C(O)=O,1
6375,Lansoprazole,HMDB0005008,3883,6375,C01594,919,CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1,1
6413,Letrozole,HMDB0015141,3902,6413,C08163,NA,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,1
6441,Levomethadyl Acetate,HMDB0015358,15130,6441,C08012,NA,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1
7454,Nalbuphine,HMDB0014982,5311304,7454,C07251,NA,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5,1
7478,Naratriptan,HMDB0015087,4440,7478,C07792,NA,CNS(=O)(=O)CCC1=CC2=C(NC=C2C2CCN(C)CC2)C=C1,1
8163,Phosphoramide mustard,HMDB0060689,96356,8163,C07647,NA,NP(O)(=O)N(CCCl)CCCl,1
8228,Pioglitazone,HMDB0015264,4829,8228,C07675,NA,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,1
8249,Piroxicam,HMDB0014694,54676228,8249,C01608,NA,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,1
8355,NA,NA,NA,NA,NA,NA,NA,0
8357,NA,NA,NA,NA,NA,NA,NA,0
6456,Lidocaine,HMDB0014426,3676,6456,C07073,NA,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,1
2340,Docebenone,HMDB0247732,1967,2340,C01349,NA,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1
2367,Abyssinone I,NA,442152,2367,C09318,NA,CC1(C)C=Cc2cc(3CC(=O)c4ccc(O)cc4O3)ccc2O1,1
2368,Abyssinone V,NA,442153,2368,C09319,NA,CC(C)=CCc1cc(2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1O,1
2375,NA,NA,NA,NA,NA,NA,NA,0
2379,Acebutolol,HMDB0015324,1978,2379,C06803,NA,CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,1
2401,Acetophenazine,HMDB0015196,17676,2401,C06807,NA,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,1
2404,NA,NA,NA,NA,NA,NA,NA,0
3175,Brimonidine,HMDB0014627,2435,3175,C07886,NA,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,1
3181,Bromocriptine,HMDB0015331,31101,3181,C06856,NA,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(O[C@@]21O)C(C)C,1
3219,Bupropion,HMDB0001510,444,3219,C06860,1435,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,1
3228,Butabarbital,HMDB0014382,2479,3228,C07827,NA,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
3542,NA,NA,NA,NA,NA,NA,NA,0
3547,Cefradine,HMDB0015428,38103,3547,C06897,NA,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O,1
4387,NA,NA,NA,NA,NA,NA,NA,0
4466,Dexmedetomidine,HMDB0014771,5311068,4466,C07450,NA,C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,1
4488,"Di-2-propenyl disulfide, 9CI",HMDB0033966,16590,4488,C08369,NA,C=CCSSCC=C,1
4509,NA,NA,NA,NA,NA,NA,NA,0
4511,Dicloxacillin,HMDB0014628,18381,4511,C06950,NA,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O,1
9342,Sulfinpyrazone,HMDB0015269,5342,9342,C07317,NA,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1,1
9349,Dimethyl sulfone,HMDB0004983,6213,9349,C11142,7236,CS(C)(=O)=O,1
5070,Flavanone,HMDB0252292,10251,5070,C00766,NA,O=C1CC(OC2=CC=CC=C12)C1=CC=CC=C1,1
5262,Norizalpinin,HMDB0029521,5281616,5262,C10044,NA,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC=CC=C2)=C1,1
9884,Uracil mustard,HMDB0014929,6194,9884,C11686,NA,ClCCN(CCCl)C1=CNC(=O)NC1=O,1
